,iso_country,coords,name,type,municipality,coords_lon,coords_lat,latlong,display_str
56434,AU,"137.01699829101562, -20.049999237060547",Soudan Station Airport,small_airport,,137.01699829101562,-20.049999237060547,"[-20.049999237060547, 137.01699829101562]",Soudan Station Airport |  | small_airport
56435,AU,"148.574996948, -32.2167015076",Dubbo City Regional Airport,medium_airport,DUBBO,148.574996948,-32.2167015076,"[-32.2167015076, 148.574996948]",Dubbo City Regional Airport | DUBBO | medium_airport
56436,AU,"141.125, -37.7317008972168",Strathdownie Airport,small_airport,,141.125,-37.7317008972168,"[-37.7317008972168, 141.125]",Strathdownie Airport |  | small_airport
56437,AU,"115.87098693847656, -32.39496612548828",Serpentine Airport,small_airport,,115.87098693847656,-32.39496612548828,"[-32.39496612548828, 115.87098693847656]",Serpentine Airport |  | small_airport
56438,AU,"121.16699981689453, -19.766700744628906",Sandfire Airport,small_airport,,121.16699981689453,-19.766700744628906,"[-19.766700744628906, 121.16699981689453]",Sandfire Airport |  | small_airport
56439,AU,"139.30833, -34.341667",Stonefield Gliding,small_airport,,139.30833,-34.341667,"[-34.341667, 139.30833]",Stonefield Gliding |  | small_airport
56440,AU,"147.20799255371094, -42.99169921875",Sandfly Airport,small_airport,,147.20799255371094,-42.99169921875,"[-42.99169921875, 147.20799255371094]",Sandfly Airport |  | small_airport
56441,AU,"142.43299865722656, -14.795000076293945",Strathgordon Airport,small_airport,,142.43299865722656,-14.795000076293945,"[-14.795000076293945, 142.43299865722656]",Strathgordon Airport |  | small_airport
56442,AU,"148.59500122070312, -28.049699783325195",St George Airport,small_airport,,148.59500122070312,-28.049699783325195,"[-28.049699783325195, 148.59500122070312]",St George Airport |  | small_airport
56443,AU,"152.92799377441406, -29.70829963684082",South Grafton Airport,small_airport,,152.92799377441406,-29.70829963684082,"[-29.70829963684082, 152.92799377441406]",South Grafton Airport |  | small_airport
56444,AU,"151.193056, -32.600832",Singleton Airport,small_airport,SINGLETON,151.193056,-32.600832,"[-32.600832, 151.193056]",Singleton Airport | SINGLETON | small_airport
56445,AU,"142.10800170898438, -25.683300018310547",South Galway Airport,small_airport,,142.10800170898438,-25.683300018310547,"[-25.683300018310547, 142.10800170898438]",South Galway Airport |  | small_airport
56446,AU,"120.14099884033203, -20.424699783325195",Shay Gap Airport,small_airport,SHAY_GAP,120.14099884033203,-20.424699783325195,"[-20.424699783325195, 120.14099884033203]",Shay Gap Airport | SHAY_GAP | small_airport
